"gene"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"HES5"	-0.994410049663873	-1.68570596655992	2.28906182471992	0.130288655815122	0.615075080216288
"TNFRSF14-AS1"	1.05373526018061	-2.57203095171077	2.80312734629822	0.0940806386021367	0.53606674222317
"TNFRSF14"	0.656734715585245	1.92580547597908	2.17100540564512	0.140634262643318	0.631665848293651
"PRXL2B"	0.367942213808817	1.52642163609373	0.568064202629207	0.451029177650618	0.839969157046824
"MMEL1"	-0.387170731019492	-0.31269396942434	0.515986623905221	0.472558713241207	0.847468940330113
"LINC00982"	0.8774609371112	-0.801937947556274	2.39612053663683	0.121636564603042	0.599512029475413
"PRDM16"	0.90207581435789	2.74769935117012	5.86470712999731	0.0154474286789972	0.206520485344398
"ARHGEF16"	-0.218096763037437	1.95888966382122	0.189998881765941	0.662917548214075	0.893139115789069
"MEGF6"	0.11333971755853	1.34927011140904	0.0626804346512486	0.802308489030847	0.908850292967567
"TPRG1L"	-0.0564351340984906	4.21169365100443	0.0230758781558009	0.879259919804811	0.917040403250091
"WRAP73"	0.171447895614908	2.61133441109884	0.179113945190241	0.672135810317122	0.894052043542264
"TP73"	0.615544512894749	-1.46671313294175	1.10008324620131	0.294247835971587	0.769201075992096
"TP73-AS1"	0.106653902495223	2.67507743378735	0.0725850737728413	0.787609442591703	0.90645983647292
"LRRC47"	0.10954915859279	3.98544619407118	0.0850282157346491	0.770595549182178	0.90474583625732
"CEP104"	-0.0450437554726495	5.9634081634773	0.0208256168024903	0.885255023583952	0.917751225235374
"DFFB"	0.247805831458072	2.88772079920071	0.459852838023897	0.497692757542972	0.855118636427296
"C1orf174"	-0.163335168036858	3.52989112114767	0.205055677505819	0.650670627839307	0.889738887181354
"AJAP1"	0.168297530195826	3.17244458390915	0.187377467175054	0.665108351080519	0.893545215845742
"NPHP4"	0.171052982879162	3.77948270948136	0.254097341215298	0.614204676374901	0.88330432126351
"KCNAB2"	0.287566515528052	5.76023482957996	0.595718524434886	0.440216281532467	0.835806581533586
"CHD5"	-0.301941632905777	6.43835634285947	0.670927149413039	0.412728547229919	0.825680067148118
